score,steps
1,66
2,159
3,183
4,237
5,314
6,374
7,403
8,439
9,482
10,490
11,509
12,570
13,639
14,674
15,727
16,791
17,793
18,859
19,908
20,941
21,984
22,1010
23,1076
24,1086
25,1156
26,1192
27,1255
28,1307
29,1336
30,1389
31,1432
32,1462
33,1512
34,1552
35,1584
36,1603
37,1660
38,1665
39,1687
40,1712
41,1741
42,1765
43,1772
44,1814
45,1837
46,1881
47,1931
48,1951
49,1969
50,2013
51,2030
52,2068
53,2083
54,2118
55,2150
56,2190
57,2196
58,2200
59,2204
60,2212
61,2248
62,2277
63,2311
64,2327
65,2339
66,2352
67,2364
68,2393
69,2416
70,2437
71,2462
72,2488
73,2497
74,2498
75,2507
76,2510
77,2516
78,2535
79,2551
80,2565
81,2568
82,2579
83,2589
84,2598
85,2603
86,2605
87,2607
88,2612
89,2618
90,2619
91,2620
92,2625
93,2627
94,2630
95,2632
96,2634
97,2635
1,66
2,92
3,182
4,218
5,219
6,231
7,304
8,322
9,401
10,458
11,484
12,565
13,622
14,635
15,685
16,745
17,769
18,810
19,874
20,926
21,970
22,1040
23,1059
24,1101
25,1171
26,1224
27,1292
28,1348
29,1372
30,1406
31,1437
32,1460
33,1515
34,1521
35,1564
36,1565
37,1620
38,1678
39,1710
40,1730
41,1757
42,1782
43,1826
44,1855
45,1904
46,1948
47,1978
48,1995
49,2004
50,2020
51,2066
52,2073
53,2110
54,2149
55,2175
56,2207
57,2239
58,2259
59,2264
60,2282
61,2291
62,2325
63,2343
64,2376
65,2381
66,2403
67,2411
68,2440
69,2441
70,2461
71,2487
72,2506
73,2508
74,2514
75,2529
76,2531
77,2544
78,2560
79,2575
80,2583
81,2587
82,2603
83,2604
84,2611
85,2620
86,2630
87,2635
88,2637
89,2646
90,2654
91,2661
92,2666
93,2671
94,2673
95,2674
96,2676
97,2677
1,45
2,136
3,197
4,266
5,320
6,359
7,368
8,410
9,411
10,420
11,467
12,475
13,509
14,517
15,520
16,538
17,548
18,626
19,662
20,693
21,709
22,779
23,835
24,854
25,870
26,908
27,911
28,973
29,995
30,1062
31,1088
32,1089
33,1100
34,1119
35,1177
36,1198
37,1226
38,1277
39,1300
40,1351
41,1375
42,1400
43,1430
44,1442
45,1443
46,1489
47,1538
48,1562
49,1589
50,1616
51,1633
52,1662
53,1696
54,1736
55,1751
56,1782
57,1815
58,1845
59,1869
60,1906
61,1920
62,1945
63,1980
64,2000
65,2025
66,2051
67,2079
68,2096
69,2125
70,2139
71,2148
72,2167
73,2178
74,2184
75,2197
76,2210
77,2215
78,2219
79,2221
80,2239
81,2241
82,2248
83,2255
84,2266
85,2268
86,2273
87,2280
88,2283
89,2292
90,2297
91,2303
92,2305
93,2307
94,2309
95,2312
96,2313
97,2314
1,55
2,92
3,163
4,182
5,250
6,332
7,334
8,390
9,468
10,524
11,599
12,620
13,669
14,736
15,792
16,843
17,922
18,968
19,976
20,1028
21,1040
22,1113
23,1184
24,1246
25,1255
26,1296
27,1356
28,1371
29,1418
